fechaHora,MW,MW_P
2024-01-01 00:00:00.0,1011.0800,1052.1000
2024-01-01 01:00:00.0,999.0200,1004.9100
2024-01-01 02:00:00.0,948.0900,953.1000
2024-01-01 03:00:00.0,917.2100,914.2900
2024-01-01 04:00:00.0,901.6200,909.1000
2024-01-01 05:00:00.0,897.9800,889.2100
2024-01-01 06:00:00.0,840.5800,880.9100
2024-01-01 07:00:00.0,873.3800,979.4000
2024-01-01 08:00:00.0,975.2400,1098.2000
2024-01-01 09:00:00.0,1084.7400,1199.0000
2024-01-01 10:00:00.0,1156.9700,1252.3000
2024-01-01 11:00:00.0,1210.4700,1317.4000
2024-01-01 12:00:00.0,1320.9800,1345.1000
2024-01-01 13:00:00.0,1350.2100,1320.9900
2024-01-01 14:00:00.0,1323.0900,1297.8900
2024-01-01 15:00:00.0,1312.1300,1284.0900
2024-01-01 16:00:00.0,1301.7900,1253.3900
2024-01-01 17:00:00.0,1288.1000,1306.1900
2024-01-01 18:00:00.0,1393.8800,1403.0900
2024-01-01 19:00:00.0,1420.2500,1377.6000
2024-01-01 20:00:00.0,1358.0700,1363.9000
2024-01-01 21:00:00.0,1336.1000,1273.0900
2024-01-01 22:00:00.0,1232.2600,1173.7800
2024-01-01 23:00:00.0,1127.7000,1079.2000
2024-01-02 00:00:00.0,1045.8300,1007.9100
2024-01-02 01:00:00.0,996.2200,967.5100
2024-01-02 02:00:00.0,949.2500,947.8100
2024-01-02 03:00:00.0,941.2500,946.9100
2024-01-02 04:00:00.0,969.4600,991.0200
2024-01-02 05:00:00.0,1036.0800,1024.9200
2024-01-02 06:00:00.0,1088.0100,1115.3200
2024-01-02 07:00:00.0,1239.0600,1248.9200
2024-01-02 08:00:00.0,1347.2400,1381.8200
2024-01-02 09:00:00.0,1437.1100,1466.1100
2024-01-02 10:00:00.0,1482.9300,1513.8100
2024-01-02 11:00:00.0,1568.3100,1600.1100
2024-01-02 12:00:00.0,1686.2600,1642.3100
2024-01-02 13:00:00.0,1677.8000,1658.1300
2024-01-02 14:00:00.0,1652.5800,1628.8300
2024-01-02 15:00:00.0,1645.7700,1597.0300
2024-01-02 16:00:00.0,1647.7500,1530.6200
2024-01-02 17:00:00.0,1604.9600,1551.3100
2024-01-02 18:00:00.0,1686.1800,1612.3200
2024-01-02 19:00:00.0,1694.9200,1561.8100
2024-01-02 20:00:00.0,1619.6900,1543.9000
2024-01-02 21:00:00.0,1563.6700,1446.1100
2024-01-02 22:00:00.0,1422.1400,1317.4000
2024-01-02 23:00:00.0,1299.0900,1201.0900
2024-01-03 00:00:00.0,1190.2400,1111.1900
2024-01-03 01:00:00.0,1134.8300,1057.5900
2024-01-03 02:00:00.0,1094.8800,1034.1900
2024-01-03 03:00:00.0,1087.2200,1040.9900
2024-01-03 04:00:00.0,1113.0700,1074.2900
2024-01-03 05:00:00.0,1184.2700,1108.2000
2024-01-03 06:00:00.0,1220.3100,1162.3000
2024-01-03 07:00:00.0,1366.2300,1290.8000
2024-01-03 08:00:00.0,1481.3500,1401.0900
2024-01-03 09:00:00.0,1566.8300,1491.8900
2024-01-03 10:00:00.0,1596.2600,1494.8900
2024-01-03 11:00:00.0,1674.2600,1574.3000
2024-01-03 12:00:00.0,1762.9200,1607.9900
2024-01-03 13:00:00.0,1749.4600,1612.9900
2024-01-03 14:00:00.0,1740.2400,1622.8900
2024-01-03 15:00:00.0,1704.2200,1621.2900
2024-01-03 16:00:00.0,1677.2100,1584.8900
